year,month,day,home_team,away_team,stage,result,shootouts,home_score,home_is_host,home_goals_scored_last_4y,home_goals_received_last_4y,home_wins_last_4y,home_losses_last_4y,home_draws_last_4y,home_wc_titles_before,home_total_market_value_eur,home_avg_age,home_wc_participations_before,home_groups_passed_before,home_round16_before,home_quarterfinals_before,home_semifinals_before,home_finals_before,away_score,away_is_host,away_goals_scored_last_4y,away_goals_received_last_4y,away_wins_last_4y,away_losses_last_4y,away_draws_last_4y,away_wc_titles_before,away_total_market_value_eur,away_avg_age,away_wc_participations_before,away_groups_passed_before,away_round16_before,away_quarterfinals_before,away_semifinals_before,away_finals_before
2010,06,23,Australia,Serbia,0,0.0,0,2.0,0,59,33,23,10,12,0,32850000.0,27.6,2,1,1,0,0,0,1.0,0,77,41,23,11,11,0,266700000.0,26.7,10,7,2,5,2,0
2010,06,23,Ghana,Germany,0,1.0,0,0.0,0,73,52,26,15,9,0,164930000.0,25.1,1,1,1,0,0,0,1.0,0,119,36,34,7,8,3,828000000.0,26.7,16,16,8,14,11,7
2010,06,23,Slovenia,England,0,1.0,0,0.0,0,47,40,14,16,6,0,150600000.0,27.7,1,0,0,0,0,0,1.0,0,93,32,27,9,6,1,1300000000.0,26.8,12,10,5,8,2,1
2010,06,23,United States,Algeria,0,0.0,0,1.0,0,112,74,36,19,6,0,169700000.0,26.0,8,4,3,2,1,0,0.0,0,43,46,18,14,7,0,229300000.0,26.5,2,0,0,0,0,0
2010,06,24,Cameroon,Netherlands,0,1.0,0,1.0,0,76,45,22,11,10,0,256030000.0,25.6,5,1,1,1,0,0,2.0,0,95,31,33,5,10,0,808000000.0,26.7,8,8,6,4,3,2
2010,06,24,Denmark,Japan,0,1.0,0,1.0,0,61,40,19,12,11,0,381600000.0,27.2,3,3,3,1,0,0,3.0,0,117,53,36,13,17,0,223500000.0,26.5,3,1,1,0,0,0
2010,06,24,Paraguay,New Zealand,0,2.0,1,0.0,0,52,54,17,18,14,0,123950000.0,28.4,7,3,3,0,0,0,0.0,0,28,40,8,11,4,0,16430000.0,27.8,1,0,0,0,0,0
2010,06,24,Slovakia,Italy,0,0.0,0,3.0,0,82,64,18,19,6,0,130050000.0,28.6,0,0,0,0,0,0,2.0,0,69,45,24,9,14,4,827000000.0,27.3,16,11,8,9,8,6
2010,06,25,Chile,Spain,0,1.0,0,1.0,0,79,65,31,17,11,0,80300000.0,25.3,7,2,1,1,1,0,2.0,0,121,31,46,4,4,0,1150000000.0,27.2,12,8,6,4,0,0
2010,06,25,North Korea,Ivory Coast,0,1.0,0,0.0,0,89,44,21,15,19,0,6900000.0,25.3,1,1,0,1,0,0,3.0,0,96,41,26,9,13,0,370800000.0,26.6,1,0,0,0,0,0
